PIUUID	UUIDS	NUMPAPERS
0c0c80dc-a193-3342-aec9-5818f4ff9658	7d1b4d0e-d04c-3d23-9be7-07c28b6af3dd,f3227c2b-e8e7-3da4-bb04-63566807ae98,59df127b-ed1e-3175-808b-1caef7febd65,f839356d-301c-391c-9d47-e2b5e45a2c12,4cf2e441-87a5-36f2-8461-4660eb086fc8	1,1,1,1,1
c1457508-3000-3bfc-bdda-230c51d81752	70e3f324-ba19-3356-b762-b1b5007d43bc,5f532f1d-ed79-3747-8052-bf1e935ec7f4	1,1
fc91e7b2-53fb-3c50-999f-f122982efd10	15025991-e4d1-31e2-ad7b-8fb6ee98d1c3,0bab22cc-71c8-3b34-a709-f94a2c82ecf1,4ed80a95-39cf-3930-b74c-e14de5bd75c2,daca826b-7b10-300a-8472-66bac3bad015,98ef85a0-facc-30a0-b55d-fba0e517101d,02417a70-4ab2-326b-b146-06aee9064c54,74817e57-ed84-3cbe-9232-cfd667487070,17eb4d81-42be-3c62-ad4c-d2ae9152d5e3,0ef352d5-fecf-3ffc-b498-e336d03dd5b8,0002e445-6d53-34b8-9a29-24e12fceb001,906b113c-93c0-3179-a528-313f8e21eb40,272b409e-48ed-36d3-95d5-af2d4c494523,28a9be56-46a3-31ef-8270-686178715622	2,2,2,2,2,1,1,1,1,1,1,1,1
f5dbe6ef-2b03-34c5-acc3-3a22c2adf09e	705e0784-f992-302c-a477-a15e2315de82,5210515d-8fc8-33f2-a7a6-6e8221ef3fff,7cfe67cb-561f-3bbf-a5e4-9f9d07220094,c3cb94a8-801d-3f7d-8a68-405d70de7b00,38098e4c-b493-3c22-8807-313e815e7aa3,24e2c4db-bc71-3404-afda-c34e7a02f401,4f6f003d-1a12-3e9f-921a-f0405701814e,2cf8c42a-39db-394a-9e99-514de46b2f3c,3cbb35e3-78d9-363e-b04b-c2bfb376fcbb,609582e6-e507-3de9-bc2e-110ffdaa51e0,1480036b-9eff-3125-a301-04c112dc03c3,5a3eafe3-00de-3e41-9a13-56eb128ca331,16f12e24-2348-308a-abfb-79d8e1f5453b,e9e4b064-e2e3-33d1-ad0d-d7555bfcc6ae,4c1653fd-6922-3102-b740-0f8c574254ae,6d6c38ec-5cd9-3862-9585-e5ca57068d2a,06339e5f-6a6d-3ba0-9705-bce8e478d602,83ba4d6b-1cf3-362a-b541-31a8340b6395,6419c1a1-0cfd-393a-a31e-505670b813ea,67584118-a0a4-3500-83ba-97434db27288,2d58b346-b007-3005-8ed4-471444f1aed8,3cc4fb70-982d-3d4e-958b-b658edc4e163,66caf643-85fa-39e1-ae47-f5c9b442b970,520a97ae-0f1b-331a-bc75-e216af874edf	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
e3ce51c0-6884-3a26-bd71-b5cbc20e086f	88d6e7cb-3266-3e46-8b20-0325619e974f,8bbdc78c-5ec1-3fea-a443-c2b5856e33ee	1,1
d7f579b4-6511-329e-a7af-05e2bd671218	b108a0dd-edaa-3423-8bc6-5e2d5b3940fd,85c44b8e-08f6-3a8b-bf78-77c3220aa26b,879c92b5-2722-35f8-b26f-b5258d88c4f3,5a353c9e-f396-39c2-976e-0c3a5b57d990,81ad40c9-4e06-3405-b05f-c72039ffb380,5715506b-2134-3426-9244-d40888b04854,63a60fbd-746a-3733-a70d-ca3933fc7d18,fa810a4e-2d33-392a-a158-deead842c200,76804947-e902-30b6-a8b6-7ed0476ab9a1,16d0f02c-b6ed-329c-911a-506adbcbe7e3,ac4d4c95-c25a-32a2-97ea-1a72791869b7,01a54b3b-3aef-3c74-b38d-48004ce33819,728d666d-51c5-3764-ac2c-08a7a3370dbe,00741fc6-6ff1-3427-97ce-84bc71c075a1,cff74175-1009-356c-86fb-9c2e18022a70,e7b6d10f-6469-326b-9e34-39df1f5e2a98,79e70e2c-721a-3783-81cf-412a86e3195a,8cca3b4e-02c3-392b-a55e-02377f7bc6fd,053c5a3a-1d1d-3a6b-84ce-3e49eb116489,6a993a5d-a5ac-3df8-874f-bd854623fab6,c78cf804-824b-3848-ab62-67202714e696	3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3418fc10-d4c3-3093-9f20-0ec6b4747da8	97bc8fee-078c-3fb2-8221-9a98c7d91b7b,e0535fe6-8827-306b-9748-d4f89d3797a4	1,1
a4e85a5c-34df-31d8-b6fc-1c528692f652	74afb061-fc2e-3028-9d05-42e074e79ac3,5fe71872-703f-3878-8f1e-13777e040438,6bbe1fa4-d572-3ba0-86f3-9f1ef41dabdc,9528ecc6-a82a-3100-9acb-f88f6e082039,13b072a5-1c97-3320-8783-69a3c6b9020b,e071d3ef-7ef2-3234-a119-04fe60ccb59e,4c9c0fd2-a0a6-3d39-ad59-90ad570abb4a,54dd1d21-e9b0-3e06-9529-59c3bbce1f40	1,1,1,1,1,1,1,1
418925ff-b740-39c8-9379-d26c8afee9d9	0efd8393-5938-34f8-bb07-648ad28b4654,56430dcb-d7ea-3003-b405-0f1e4a2a791e,fead7399-234f-3aea-a5b4-29458b56ae98,b11f736c-629f-32f9-87ae-c3c503e76e2d,b747c1a1-6498-31f8-bdeb-fa2e500d16a9,40bff267-9d5d-3464-a07a-ea96aa74c486,321b884d-517f-3d02-a018-25a60d445307,bf98123c-2bb6-39d0-94e6-24d1db6a3264,9ad151ca-ec6d-3338-a19a-dfda4e63f057,ab3a51c5-5345-3b5a-a2ac-454d54e07662	1,1,1,1,1,1,1,1,1,1
6080ec37-45d6-39c5-99b6-1ad027f8010a	46397aab-406c-3e91-864e-7f3658437262,b2e0996c-6123-3dbf-821e-5afd0076c8d8,bfd8d453-b82b-3522-ac97-f4dff667ac0a,9f42fe97-cb2b-3336-a69c-0e37eba2aac9,f6051561-f2e9-3783-bbfc-7feb6ec51502,b0094f0c-c799-39c1-876d-e55a69defef6	1,1,1,1,1,1
be0a8e25-b1ee-33bf-b9b1-9b73ecd6ebd1	e9f049c1-83ab-30c2-bd81-5287c935269e,ec96e90e-1f7f-3ffe-8fd1-6e39e798c6d9,84a9bd25-f727-3a72-9de1-e66db699911f,4914a132-d17b-3289-ada2-0b1f0f341c04,1c46c819-8829-3d6f-99dd-d2c229641bcd,6e1b700d-8663-3344-bbd0-86a1f7e46be2,170c4886-98e4-340b-bbff-48b9e2dbd16f,8de78fc4-3b9a-37e4-bbad-df0c24c40f46,7188418d-11f0-39a0-b0d3-df888be1e321,be8faa57-d529-3bac-8d24-2b3331f427ac	1,1,1,1,1,1,1,1,1,1
fdcc7c70-b298-3073-9d70-a3b74953880e	59b6fe29-1150-35c1-9073-73188884f337,44f5658d-8afb-3a8c-9732-0290641d61b4,a7de09a7-7511-3c12-b67c-f86b5e57ff30,1dbcde38-6c7c-3a71-abbf-4413d0535a22,d179ccff-11fa-345b-9251-cac45e082bcd,16e80b05-fb8b-3576-b233-d65e0b456b81,b238a7cb-90fa-3cba-9425-61db1bb7f8ab,0d556f09-e579-37a2-9f34-b6151ad41371,914dcab1-70e8-361e-85ea-497e5c8b33e9,631bbeb4-b038-3639-a9e7-bf234e443bb4,74ca66a3-dd15-33a3-ab9e-0edc4e52f5a7,92a909f8-677f-3e2d-a2f4-c5858507330e,31c43bc9-ecb2-313d-b494-11807307c92a,838912cf-6f2a-3859-8fb5-ee37f22ea184,bac21566-555c-3e11-88ce-5658299b4f9d,77cd6370-99a2-3b7d-a3ef-41b6738b753f,a802706f-0e27-348c-9f09-1035e2e703fd,da83a8a8-6eb4-3343-a5b8-c09cc91d5a14,265e3053-9372-37a4-a2ac-dda0a85d6d3c,77b6b577-e16d-375b-aa10-dd89392365c8,96e5a938-1f51-3888-b5e0-32073df6274e,094fcb28-02fa-36aa-b053-d6ce99f04c3f	2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
