AUTHOR	UUIDS	PMIDS	PI	NUMPAPERS
Adalsteinsson E	12f5dddb-88f8-3b26-a1c6-693ae6a7bae4	16356737	0	1
Adam C	c79d2ca5-83e3-34b0-8ae4-07a9552dbf61	16084113,10908201	0	2
Adam R	588f85f8-d73a-3545-b327-58c8a947e3a9	20452443	0	1
Adamo M	1dc85b19-812d-32a7-a260-886aa00c3a2f	23948645,16549368	0	2
Adams CL	a0ebf315-4ace-3054-8287-bb0e2232115d	18639536	0	1
Adams J	3f77d602-da52-3288-9f38-fe8b1e74d3c9	19850055,17166860,17027928	0	3
Adams KH	fef76067-c51b-3804-a1d5-59d71c8e5471	17884017	0	1
Adams L	5f00fc19-32d4-3b29-9233-d8dbe91390a7	18343687	0	1
Adams RB Jr	62048b91-353e-33d1-a138-7071d82cffe3	19767310,21683500,21666261	0	3
Adamson JL	a0c28492-edc8-31c1-8a61-3599eca2932d	18280754	0	1
Adank P	8d084968-95f8-3c96-b1fa-0d8370d278d7	21391272,22836181,22085863,19632341	1	4
Adapa RM	1bfd33ba-9702-3c60-a1b0-beb679144486	21151992	0	1
Adaszewski S	957243d4-8fef-306e-a7ba-0cc7fec85a65	23890839	0	1
Adcock JE	4dc9cd98-0c3c-3c82-a3f7-2e9ad308552b	16280351	0	1
Adcock RA	a2210133-0231-3a36-9792-fd0e0803dfa7	21414466,20688087,23529005,22745496,20357127	1	5
Adda CC	7b7e4e6e-73d4-3bf1-86a9-94dc81b67680	18329672	0	1
Addicott MA	4de5251f-60ce-3ae0-b296-925b14fdfdf1	23154092	0	1
Addington J	f8f2d3aa-60cf-3b8c-94e8-81402112db3c	21831358	0	1
Addis DR	a2248d50-9937-3ee0-8058-e1f5dde0c8df	23376052,21600227,22614246,20542121,17681983,23936055,23994453,21803063,22001264,21945808,17126370,19041331,21262244,20007242	1	14
Aden U	54ab89b3-05e8-3314-9318-62e3f79998bd	20421249	0	1
Adenis MS	a8ab5aec-2cb5-3c85-a567-dd6937be5d28	23039996	0	1
Adenzato M	16cde658-7a7d-3cc5-9336-2caf73d1c81e	19287044	0	1
Adesman A	8dc61de7-72f2-3a16-8d2f-bfe3f9f0dcde	15737658	0	1
Adeyemo A	061e470b-6127-3edd-b531-bf3028973c7c	18848742	0	1
Adjouadi M	67bc1351-d967-37c0-9483-666d1942cec4	21484949	0	1
Adlam AL	3bca8e67-10b2-35ce-81cc-476508cf34d6	17071925	0	1
Adler CH	72e98b6e-7eb4-36d4-b552-48bd15f674c0	22275317	0	1
Adler CM	2bb18fca-7bd7-3ff9-8579-ac8fa82885a9	15922309,17027928,21051038	1	3
Adler LA	526ff5f2-57d1-3b8f-9a97-bf5b6824fc94	17888409	0	1
Adli M	aeb99aa6-194b-324d-a68c-48cd52a7a121	19632301	0	1
Admon R	6200e1d4-d496-304c-8f86-4374ccd8e46f	17395609,22291028,22623666	0	3
Adolf D	194ebb01-9058-3768-b4b4-971f4df13337	22003388	0	1
Adolfsson R	9015c97c-1758-3644-bb8d-cd8ec14e3030	18346764,16537568	0	2
Adolph O	2731672e-3cb3-3ab1-b247-54370023bd79	19703572	0	1
Adolphs R	a4fefc13-40de-3020-8198-d7488cafe270	21427193,19285465,20696256,23664619	1	4
