First_Name.Middle_Name	Family_Name	Pubmed_Name	Category	Primary.Affiliation	Secondary.Affiliations	Researcher.ID.URL	RID	uuids
Robert D	Finn	Finn RD	Biology & Biochemistry	HHMI Janelia Farm Res Campus, USA	Wellcome Trust Sanger Inst, UK			cc9355e6-fd34-448e-ac7d-d48f811c5804
Paul 	Flicek	Flicek P	Biology & Biochemistry	European Bioinformat Inst, UK				73e1e75a-a5b1-457c-ad2d-ce3145ed8071
Pauline A	Fujita	Fujita PA	Biology & Biochemistry	University of California, Santa Cruz, USA				ecc21574-18bf-4d60-872b-f34bdf24a513
Elisabeth 	Gasteiger	Gasteiger E	Biology & Biochemistry	Swiss Inst Bioinformat SIB, Switzerland				447e19ee-704e-4bd4-92fb-5ff5a25f0a51
Lewis Y	Geer	Geer LY	Biology & Biochemistry	NIH, USA		http://www.researcherid.com/rid/H-2714-2014	H-2714-2014	1ce88c20-aecc-4332-a97d-dacd4e556a95
Mark B	Gerstein	Gerstein MB	Biology & Biochemistry	Yale University, USA				7a283d1c-a2cf-47cf-94fa-c86b020e8149
Toby J	Gibson	Gibson TJ	Biology & Biochemistry	European Mol Biol Lab, Germany				25309dcb-a92b-46d5-b786-2ff17e1a4fe5
Charles G	Glabe	Glabe CG	Biology & Biochemistry	University of California, Irvine, USA	King Abdulaziz University, Saudi Arabia			fe7c6a6e-497a-473a-9258-ade67914b211
Susumu 	Goto	Goto S	Biology & Biochemistry	Kyoto University, Japan				c0ca03c7-a415-4596-b687-f05cfc94d550
Eric 	Gouaux	Gouaux E	Biology & Biochemistry	Oregon Health and Science University, USA				9c882ae7-089a-431d-b9b6-8f8e63c15855
Philip D	Gregory	Gregory PD	Biology & Biochemistry	Sangamo BioSci Inc, USA				7b02efca-1cff-42e8-810b-cf29ba483ce0
Sam 	Griffiths-Jones	Griffiths-Jones S	Biology & Biochemistry	The University of Manchester, UK				66208b24-1e3d-4595-bc7f-495b0aaf945c
Igor V	Grigoriev	Grigoriev IV	Biology & Biochemistry	US DOE Joint Genome Institute , USA				a5dfd968-d00e-4473-9124-c76642b9b58d
Steven P	Gygi	Gygi SP	Biology & Biochemistry	Harvard University, USA				d17b0d2b-6ffc-4f21-8a8e-b75794e83848
Daniel H	Haft	Haft DH	Biology & Biochemistry	J Craig Venter Inst, USA				fa4dfbc9-0873-431f-be17-0e8f0d4bc0ad
Martin 	Hammond	Hammond M	Biology & Biochemistry	European Bioinformat Inst, UK				1731b310-e151-4049-a409-6cda706bf59b
D Grahame	Hardie	Hardie DG	Biology & Biochemistry	The University of Dundee, UK				5e8f6fa1-e9c4-4868-8c76-bc57c8a6d6d9
Rachel A	Harte	Harte RA	Biology & Biochemistry	University of California, Santa Cruz, USA				53354b77-d310-4159-8c8e-2b4a335780c4
David 	Haussler	Haussler D	Biology & Biochemistry	University of California, Santa Cruz, USA				1dd1dfc4-ebe8-4bd6-8bc0-1633d1f45c1e
Bernard 	Henrissat	Henrissat B	Biology & Biochemistry	Center National de la Recherche scientifique(CNRS), France	King Abdulaziz University, Saudi Arabia			66cac04f-53ad-407a-a969-c020012173d9
Henning 	Hermjakob	Hermjakob H	Biology & Biochemistry	European Bioinformat Inst EMBL EBI, UK				256193c4-3f0c-4d43-89a6-00b407503d77
Javier 	Herrero	Herrero J	Biology & Biochemistry	European Bioinformat Inst, UK				23cd8429-e423-412d-9a60-edf9d9f95b35
Angie S	Hinrichs	Hinrichs AS	Biology & Biochemistry	University of California, Santa Cruz, USA				7ac7eb26-c7ae-4f1c-94dc-e303bae04da2
Michael C	Holmes	Holmes MC	Biology & Biochemistry	Sangamo BioSci Inc, USA				b80aae6a-9773-49fd-8092-5db102a5a9d7
Tim J P	Hubbard	Hubbard TJ	Biology & Biochemistry	Wellcome Trust Sanger Inst, UK		http://www.researcherid.com/rid/C-2567-2008	C-2567-2008	93ca6099-f672-4213-87c4-a5074d22cb68
Nicolas 	Hulo	Hulo N	Biology & Biochemistry	CMU, Switzerland				9df62afd-3a71-401a-9d73-a346eb734ca7
Lars Juhl	Jensen	Jensen LJ	Biology & Biochemistry	University of Copenhagen, Denmark	Technical University of Denmark, Denmark			637ef352-0177-4a5b-bee4-5443ef4e4014
Minoru 	Kanehisa	Kanehisa M	Biology & Biochemistry	Kyoto University, Japan				ede88e0a-e517-4c36-bdc8-b8fca9dcf35d
Yuri 	Kapustin	Kapustin Y	Biology & Biochemistry	NIH, USA				6116c85e-7edd-42fb-bf01-adedf5833d00
